,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
175,24,6,0,0,22,5,2011,0,0,19.5263889,45.6088889
176,25,6,3,3,22,5,2011,1,2,19.5263889,45.6088889
177,1,7,0,0,22,5,2011,0,0,21.1825,44.6152778
178,2,7,0,0,22,5,2011,0,2,21.1825,44.6152778
179,3,7,0,0,22,5,2011,1,2,21.1825,44.6152778
180,4,7,0,0,22,5,2011,1,1,21.1825,44.6152778
181,5,7,0,0,22,5,2011,0,2,21.1825,44.6152778
182,6,7,0,0,22,5,2011,1,0,21.1825,44.6152778
183,7,7,0,0,22,5,2011,0,0,21.1825,44.6152778
184,8,7,1,3,22,5,2011,1,1,21.1825,44.6152778
185,9,7,0,0,22,5,2011,0,1,21.1825,44.6152778
186,10,7,0,0,22,5,2011,0,1,21.1825,44.6152778
187,11,7,0,1,22,5,2011,0,0,21.1825,44.6152778
188,12,7,0,0,22,5,2011,0,1,21.1825,44.6152778
189,13,7,0,1,22,5,2011,0,1,21.1825,44.6152778
190,14,7,2,1,22,5,2011,0,0,21.1825,44.6152778
191,15,7,1,2,22,5,2011,0,0,21.1825,44.6152778
192,16,7,1,3,22,5,2011,1,1,21.1825,44.6152778
193,17,7,0,0,22,5,2011,0,1,21.1825,44.6152778
194,18,7,1,3,22,5,2011,2,2,21.1825,44.6152778
195,19,7,0,0,22,5,2011,0,1,21.1825,44.6152778
196,20,7,1,1,22,5,2011,0,1,21.1825,44.6152778
197,21,7,1,3,22,5,2011,1,1,21.1825,44.6152778
198,22,7,1,1,22,5,2011,0,0,21.1825,44.6152778
199,23,7,0,0,22,5,2011,0,0,21.1825,44.6152778
200,24,7,0,0,22,5,2011,0,0,21.1825,44.6152778
201,25,7,1,3,22,5,2011,1,2,21.1825,44.6152778
202,1,10,0,0,22,5,2011,0,0,22.284722199999997,43.904166700000005
203,2,10,0,0,22,5,2011,0,2,22.284722199999997,43.904166700000005
204,3,10,0,0,22,5,2011,1,2,22.284722199999997,43.904166700000005
205,4,10,0,0,22,5,2011,1,1,22.284722199999997,43.904166700000005
206,5,10,1,1,22,5,2011,0,2,22.284722199999997,43.904166700000005
207,6,10,0,0,22,5,2011,1,0,22.284722199999997,43.904166700000005
208,7,10,0,0,22,5,2011,0,0,22.284722199999997,43.904166700000005
209,8,10,0,0,22,5,2011,1,1,22.284722199999997,43.904166700000005
210,9,10,0,0,22,5,2011,0,1,22.284722199999997,43.904166700000005
211,10,10,0,1,22,5,2011,0,1,22.284722199999997,43.904166700000005
212,11,10,0,1,22,5,2011,0,0,22.284722199999997,43.904166700000005
213,12,10,0,0,22,5,2011,0,1,22.284722199999997,43.904166700000005
214,13,10,0,1,22,5,2011,0,1,22.284722199999997,43.904166700000005
215,14,10,1,1,22,5,2011,0,0,22.284722199999997,43.904166700000005
216,15,10,1,2,22,5,2011,0,0,22.284722199999997,43.904166700000005
217,16,10,0,0,22,5,2011,1,1,22.284722199999997,43.904166700000005
218,17,10,0,0,22,5,2011,0,1,22.284722199999997,43.904166700000005
219,18,10,2,3,22,5,2011,2,2,22.284722199999997,43.904166700000005
220,19,10,0,0,22,5,2011,0,1,22.284722199999997,43.904166700000005
221,20,10,0,1,22,5,2011,0,1,22.284722199999997,43.904166700000005
222,21,10,1,3,22,5,2011,1,1,22.284722199999997,43.904166700000005
223,22,10,1,1,22,5,2011,0,0,22.284722199999997,43.904166700000005
224,23,10,0,0,22,5,2011,0,0,22.284722199999997,43.904166700000005
225,24,10,0,0,22,5,2011,0,0,22.284722199999997,43.904166700000005
226,25,10,1,3,22,5,2011,1,2,22.284722199999997,43.904166700000005
227,14,4,0,1,22,5,2011,0,0,20.9333333,44.033333299999995
228,15,4,1,2,22,5,2011,0,0,20.9333333,44.033333299999995
229,16,4,1,3,22,5,2011,1,1,20.9333333,44.033333299999995
230,17,4,0,1,22,5,2011,0,1,20.9333333,44.033333299999995
231,18,4,3,3,22,5,2011,2,2,20.9333333,44.033333299999995
232,19,4,0,0,22,5,2011,0,1,20.9333333,44.033333299999995
233,20,4,0,1,22,5,2011,0,1,20.9333333,44.033333299999995
234,21,4,1,3,22,5,2011,1,1,20.9333333,44.033333299999995
235,22,4,1,1,22,5,2011,0,0,20.9333333,44.033333299999995
236,23,4,0,0,22,5,2011,0,0,20.9333333,44.033333299999995
237,24,4,0,0,22,5,2011,0,0,20.9333333,44.033333299999995
238,25,4,1,3,22,5,2011,1,2,20.9333333,44.033333299999995
239,1,9,0,0,22,5,2011,0,0,21.3036111,45.1166667
240,2,9,0,0,22,5,2011,0,2,21.3036111,45.1166667
241,3,9,0,0,22,5,2011,1,2,21.3036111,45.1166667
242,4,9,0,0,22,5,2011,1,1,21.3036111,45.1166667
243,5,9,0,1,22,5,2011,0,2,21.3036111,45.1166667
244,6,9,1,3,22,5,2011,1,0,21.3036111,45.1166667
245,7,9,0,1,22,5,2011,0,0,21.3036111,45.1166667
246,8,9,0,0,22,5,2011,1,1,21.3036111,45.1166667
247,9,9,0,0,22,5,2011,0,1,21.3036111,45.1166667
248,10,9,0,1,22,5,2011,0,1,21.3036111,45.1166667
249,11,9,0,0,22,5,2011,0,0,21.3036111,45.1166667
250,12,9,0,0,22,5,2011,0,1,21.3036111,45.1166667
251,13,9,1,1,22,5,2011,0,1,21.3036111,45.1166667
252,14,9,1,1,22,5,2011,0,0,21.3036111,45.1166667
253,15,9,1,2,22,5,2011,0,0,21.3036111,45.1166667
254,16,9,1,3,22,5,2011,1,1,21.3036111,45.1166667
255,17,9,0,0,22,5,2011,0,1,21.3036111,45.1166667
256,18,9,2,3,22,5,2011,2,2,21.3036111,45.1166667
257,19,9,0,0,22,5,2011,0,1,21.3036111,45.1166667
